Council area,Year,Sex,Age,Population
Aberdeen City,2019,Female,0,1146
Aberdeen City,2019,Female,1,1117
Aberdeen City,2019,Female,2,1127
Aberdeen City,2019,Female,3,1178
Aberdeen City,2019,Female,4,1139
Aberdeen City,2019,Female,5,1112
Aberdeen City,2019,Female,6,1159
Aberdeen City,2019,Female,7,1178
Aberdeen City,2019,Female,8,1132
Aberdeen City,2019,Female,9,1095
Aberdeen City,2019,Female,10,1056
Aberdeen City,2019,Female,11,1093
Aberdeen City,2019,Female,12,1002
Aberdeen City,2019,Female,13,963
Aberdeen City,2019,Female,14,949
Aberdeen City,2019,Female,15,892
Aberdeen City,2019,Female,16,862
Aberdeen City,2019,Female,17,858
Aberdeen City,2019,Female,18,1199
Aberdeen City,2019,Female,19,1601
Aberdeen City,2019,Female,20,1897
Aberdeen City,2019,Female,21,1950
Aberdeen City,2019,Female,22,2144
Aberdeen City,2019,Female,23,1919
Aberdeen City,2019,Female,24,1941
Aberdeen City,2019,Female,25,1772
Aberdeen City,2019,Female,26,1983
Aberdeen City,2019,Female,27,2300
Aberdeen City,2019,Female,28,2296
Aberdeen City,2019,Female,29,2198
Aberdeen City,2019,Female,30,2092
Aberdeen City,2019,Female,31,1975
Aberdeen City,2019,Female,32,1861
Aberdeen City,2019,Female,33,1968
Aberdeen City,2019,Female,34,1946
Aberdeen City,2019,Female,35,1716
Aberdeen City,2019,Female,36,1851
Aberdeen City,2019,Female,37,1717
Aberdeen City,2019,Female,38,1622
Aberdeen City,2019,Female,39,1656
Aberdeen City,2019,Female,40,1432
Aberdeen City,2019,Female,41,1396
Aberdeen City,2019,Female,42,1289
Aberdeen City,2019,Female,43,1351
Aberdeen City,2019,Female,44,1297
Aberdeen City,2019,Female,45,1249
Aberdeen City,2019,Female,46,1376
Aberdeen City,2019,Female,47,1439
Aberdeen City,2019,Female,48,1439
Aberdeen City,2019,Female,49,1379
Aberdeen City,2019,Female,50,1408
Aberdeen City,2019,Female,51,1371
Aberdeen City,2019,Female,52,1363
Aberdeen City,2019,Female,53,1457
Aberdeen City,2019,Female,54,1511
Aberdeen City,2019,Female,55,1485
Aberdeen City,2019,Female,56,1502
